Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Petición a postgres,60,19422,9273,20900,2476.88,0.000%,2.80348,1.29,0.52,471.0
TOTAL,60,19422,9273,20900,2476.88,0.000%,2.80348,1.29,0.52,471.0
