Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Petición a timescale,60,2829,1081,3274,454.37,0.000%,15.18603,6.98,2.79,471.0
TOTAL,60,2829,1081,3274,454.37,0.000%,15.18603,6.98,2.79,471.0
