Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Petición a timescale,60,2796,479,3163,479.70,0.000%,15.18219,6.97,2.79,470.0
TOTAL,60,2796,479,3163,479.70,0.000%,15.18219,6.97,2.79,470.0
