Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Petición a postgres,60,18183,7948,19504,2479.04,0.000%,2.98048,1.37,0.55,469.0
TOTAL,60,18183,7948,19504,2479.04,0.000%,2.98048,1.37,0.55,469.0
